entity_name,Unnamed: 1,median_seconds_empty,total_pitches,arm_injury_2022,Player,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Williams, Trevor,17.173,641,0,Trevor Williams,"Williams, Trevor",592866,91.2,89.0,,83.2,84.4,78.6,,,,
McClanahan, Shane,17.182,1102,0,Shane McClanahan,"McClanahan, Shane",663556,96.7,,,89.3,87.7,82.0,,,,
Sánchez, Aníbal,17.19,562,0,Aníbal Sánchez,"Sánchez, Aníbal",434671,89.8,89.1,87.2,83.0,79.9,75.4,,,,
Freeland, Kyle,17.201,1285,0,Kyle Freeland,"Freeland, Kyle",607536,90.3,89.6,85.5,,84.8,80.9,,,,
Kremer, Dean,17.223,837,0,Dean Kremer,"Kremer, Dean",665152,93.5,91.5,88.0,,83.7,76.5,83.5,,,
Givens, Mychal,17.249,487,1,Mychal Givens,"Givens, Mychal",571710,93.4,90.9,,84.7,82.1,,,,,
Rogers, Trevor,17.255,843,1,Trevor Rogers,"Rogers, Trevor",669432,94.6,93.7,,80.7,85.7,,,,,
Brash, Matt,17.268,450,0,Matt Brash,"Brash, Matt",666374,96.9,,,86.8,85.5,84.6,,,,
Schmidt, Clarke,17.285,420,0,Clarke Schmidt,"Schmidt, Clarke",657376,94.7,94.9,,,89.6,83.5,,,86.4,
Fedde, Erick,17.294,1234,1,Erick Fedde,"Fedde, Erick",607200,89.6,92.6,89.2,,86.0,78.4,,,,
Feltner, Ryan,17.299,776,1,Ryan Feltner,"Feltner, Ryan",663372,94.5,93.5,,84.6,83.8,77.9,,,82.1,
Tate, Dillon,17.318,477,0,Dillon Tate,"Tate, Dillon",622253,,94.0,,94.4,83.9,,,,80.3,
Morton, Charlie,17.319,1357,0,Charlie Morton,"Morton, Charlie",450203,94.9,94.7,88.4,,87.2,81.3,,,,
