Player,Tempo_23,Inj_23,total_pitches_empty,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Brandon Woodruff,14.392,1,229,"Woodruff, Brandon",605540,95.8,94.9,,86.8,85.8,82.9,,,,
Joe Musgrove,14.397,1,228,"Musgrove, Joe",605397,93.1,92.8,90.1,82.2,87.1,81.3,,,82.7,
Freddy Peralta,14.406,0,818,"Peralta, Freddy",642547,94.4,,,82.4,88.6,76.9,,,,
Cody Bradford,14.423,0,540,"Bradford, Cody",674003,90.4,,86.6,83.1,82.1,,,,,
Josiah Gray,14.438,0,301,"Gray, Josiah",680686,93.6,93.1,88.8,85.8,88.6,82.2,,,81.9,
Michael Lorenzen,14.443,0,940,"Lorenzen, Michael",547179,94.3,93.6,88.8,85.2,84.5,82.3,,,83.0,
Colin Rea,14.445,0,204,"Rea, Colin",607067,93.2,92.6,86.7,,,78.8,86.0,,83.2,
Alex Faedo,14.475,0,540,"Faedo, Alex",656412,92.9,,,82.3,85.9,,,,,
Luis Medina,14.503,0,485,"Medina, Luis",665622,96.1,95.5,,85.3,87.3,79.7,,,,
Nick Martinez,14.533,0,785,"Martinez, Nick",607259,93.3,92.9,89.5,84.5,80.7,81.8,,,,
Shane McClanahan,14.535,1,502,"McClanahan, Shane",663556,96.8,95.9,,89.3,86.9,83.5,,,,
Kenta Maeda,14.56,1,284,"Maeda, Kenta",628317,91.0,90.3,,82.1,,76.4,84.1,,80.3,
Nestor Cortes,14.571,1,274,"Cortes, Nestor",641482,91.6,88.1,86.6,81.8,83.4,,,,76.2,
Patrick Sandoval,14.621,0,230,"Sandoval, Patrick",663776,93.0,93.3,,87.0,83.0,76.5,,,81.8,
Javier Assad,14.64,0,208,"Assad, Javier",665871,93.1,92.7,89.1,81.6,85.0,76.5,,,80.2,
Sean Manaea,14.643,0,288,"Manaea, Sean",640455,93.8,93.5,90.3,84.4,86.6,,,,79.8,
MacKenzie Gore,14.648,0,208,"Gore, MacKenzie",669022,95.0,,,88.5,86.5,83.2,,,84.6,
John Schreiber,14.665,0,864,"Schreiber, John",670167,93.2,92.7,90.7,,88.1,,,,80.9,
Corbin Burnes,14.669,0,416,"Burnes, Corbin",669203,,95.3,94.4,88.1,89.3,79.9,,,84.3,
Kodai Senga,14.672,0,300,"Senga, Kodai",673540,95.7,,90.8,84.6,,72.7,,,80.8,
Wandy Peralta,14.675,1,447,"Peralta, Wandy",593974,95.7,95.8,,88.7,89.0,,,,,
Bryan Abreu,14.679,0,872,"Abreu, Bryan",650556,97.6,97.0,,87.4,,81.1,,,,
Michael King,14.682,0,196,"King, Michael",650633,94.7,94.1,,,87.2,,,,81.8,
Lucas Giolito,14.685,0,330,"Giolito, Lucas",608337,93.1,94.1,,84.0,80.9,77.9,,,,
Zach Davies,14.742,0,265,"Davies, Zach",605200,89.4,89.5,87.5,81.7,80.7,77.1,,,78.7,
Yimi García,14.744,0,402,"García, Yimi",554340,96.0,95.4,,89.9,88.5,83.6,,,83.4,
Roansy Contreras,14.754,0,671,"Contreras, Roansy",672710,94.3,,,83.6,89.4,76.8,,,82.3,
