year,player,player_key,tempo_seconds_empty,pitches_empty,injury,source_records,in_velocity_merge,player_id,primary_velocity_mph
2022,Adam Ottavino,adam ottavino,21.139,514,0,1,1,493603,94.8
2022,Luis Garcia,luis garcia,21.173,1066,0,1,1,677651,94.0
2022,Bryan Abreu,bryan abreu,21.246,423,0,1,1,650556,97.2
2022,Tylor Megill,tylor megill,21.318,348,0,1,0,,
2022,Daniel Bard,daniel bard,21.406,436,0,1,1,453268,98.0
2022,Taylor Clarke,taylor clarke,21.416,333,1,1,1,664199,95.6
2022,Domingo Acevedo,domingo acevedo,21.468,396,0,1,1,642758,93.0
2022,Craig Stammen,craig stammen,21.484,326,0,1,0,,
2022,Michael King,michael king,21.497,374,0,1,0,,
2022,Paul Sewald,paul sewald,21.539,443,0,1,1,623149,92.5
2022,Andrés Muñoz,andrés muñoz,21.589,414,0,1,1,662253,100.2
2022,Phil Bickford,phil bickford,21.682,437,1,1,1,641360,94.1
2022,Shohei Ohtani,shohei ohtani,21.727,1182,0,1,1,660271,97.3
2022,Jeurys Familia,jeurys familia,21.749,387,0,1,1,544727,95.4
2022,Steven Wilson,steven wilson,21.78,394,0,1,1,621051,95.1
2022,Erasmo Ramírez,erasmo ramírez,21.816,538,0,1,1,541640,93.8
2022,Clay Holmes,clay holmes,21.818,451,0,1,1,605280,97.0
2022,Alexis Díaz,alexis díaz,21.897,454,0,1,1,664747,95.7
2022,Ryan Tepera,ryan tepera,21.905,395,0,1,1,572193,92.6
2022,Sam Moll,sam moll,21.935,365,0,1,0,,
2022,Luis García,luis garcía,21.946,417,0,1,1,472610,97.7
2022,José Alvarado,josé alvarado,22.024,396,0,1,1,621237,98.2
2022,Ryan Thompson,ryan thompson,22.06,326,0,1,0,,
2022,Jason Adam,jason adam,22.096,392,0,1,1,592094,94.8
2022,Liam Hendriks,liam hendriks,22.097,403,1,1,1,521230,97.6
2022,Josh Hader,josh hader,22.113,431,0,1,1,623352,97.2
2022,José Suarez,josé suarez,22.121,763,0,1,1,660761,92.7
2022,Taylor Rogers,taylor rogers,22.27,516,0,1,1,573124,93.6
2022,Camilo Doval,camilo doval,22.272,507,0,1,1,666808,98.4
2022,Cionel Pérez,cionel pérez,22.482,398,0,1,1,672335,97.0
2022,Ryne Stanek,ryne stanek,22.514,376,0,1,1,592773,98.3
2022,James Karinchak,james karinchak,22.614,360,0,1,0,,
2022,Craig Kimbrel,craig kimbrel,22.748,493,0,1,1,518886,95.8
2022,Reynaldo López,reynaldo lópez,22.812,416,0,1,1,625643,97.1
2022,Brad Hand,brad hand,22.912,408,1,1,1,543272,92.6
2022,Chris Martin,chris martin,22.917,341,0,1,1,455119,95.3
