year,month,month_label,period,plate_appearances,at_bats,hits,home_runs,walks,strikeouts,avg_reported,avg_calculated,adjusted_avg,credible_interval_lower,credible_interval_upper,reliability_weight,adjustment,absolute_adjustment,on_base_percentage,slugging_percentage,on_base_plus_slugging
2022,6,6월,2022-06-01,50,47,14,1,2,11,0.298,0.2978723404255319,0.30817025149890176,0.22075749043974052,0.403075345385897,0.4845360824742268,0.010297911073369859,0.010297911073369859,0.327,0.447,0.774
2022,7,7월,2022-07-01,45,40,12,0,5,9,0.3,0.3,0.30991682661548303,0.21918952514202056,0.4086456883532959,0.4444444444444444,0.009916826615483043,0.009916826615483043,0.378,0.45,0.828
2022,8,8월,2022-08-01,94,85,22,0,9,21,0.259,0.25882352941176473,0.28068529181772944,0.2084103963946059,0.35911416717144884,0.6296296296296297,0.021861762405964713,0.021861762405964713,0.33,0.329,0.659
2022,9,9월,2022-09-01,97,92,33,2,3,10,0.359,0.358695652173913,0.34431348165770054,0.2686519712138984,0.4241293813829643,0.647887323943662,-0.014382170516212489,0.014382170516212489,0.371,0.489,0.86
2022,10,10월,2022-10-01,27,24,6,1,3,5,0.25,0.25,0.29584478912693885,0.19817166563110214,0.4039682583815036,0.32432432432432434,0.045844789126938845,0.045844789126938845,0.333,0.375,0.708
2023,4,4월,2023-04-01,110,93,31,2,13,16,0.333,0.3333333333333333,0.3279196810866677,0.2536626193981376,0.4067362213229279,0.6503496503496503,-0.005413652246665623,0.005413652246665623,0.409,0.484,0.893
2023,5,5월,2023-05-01,92,79,19,1,12,15,0.241,0.24050632911392406,0.2704846077162285,0.19767563547822245,0.3500328283420247,0.6124031007751938,0.029978278602304453,0.029978278602304453,0.341,0.392,0.733
2023,6,6월,2023-06-01,12,11,4,0,1,0,0.364,0.36363636363636365,0.32610679336710613,0.2153251204226317,0.44768916926620606,0.18032786885245902,-0.03752957026925752,0.03752957026925752,0.417,0.636,1.053
2023,7,7월,2023-07-01,67,61,23,1,4,12,0.377,0.3770491803278688,0.3503830125711124,0.26477802421357005,0.44109567842083425,0.5495495495495496,-0.026666167756756454,0.026666167756756454,0.424,0.492,0.916
2023,8,8월,2023-08-01,94,85,35,4,8,13,0.412,0.4117647058823529,0.37698158811402577,0.2974010514690669,0.4600153418407164,0.6296296296296297,-0.034783117768327154,0.034783117768327154,0.468,0.671,1.139
2023,9,9월,2023-09-01,92,80,25,0,11,18,0.313,0.3125,0.3145578030414883,0.23790986931870176,0.3966103175091402,0.6153846153846154,0.002057803041488282,0.002057803041488282,0.402,0.338,0.74
2023,10,10월,2023-10-01,48,44,15,3,4,7,0.341,0.3409090909090909,0.32864377016376034,0.23790456863635653,0.4262901037645628,0.46808510638297873,-0.012265320745330544,0.012265320745330544,0.396,0.614,1.01
2024,3,3월,2024-03-01,37,30,6,1,5,8,0.2,0.2,0.2736564299424184,0.18229213554650944,0.37573584761006334,0.375,0.07365642994241839,0.07365642994241839,0.297,0.3,0.597
2024,4,4월,2024-04-01,103,92,35,4,6,10,0.38,0.3804347826086957,0.35839798869995404,0.28182719042488896,0.438747499095314,0.647887323943662,-0.022036793908741636,0.022036793908741636,0.447,0.609,1.056
2024,5,5월,2024-05-01,101,91,22,4,8,20,0.242,0.24175824175824176,0.26874123684676227,0.199093417429375,0.3446016619201388,0.6453900709219859,0.026982995088520506,0.026982995088520506,0.317,0.429,0.746
2024,6,6월,2024-06-01,107,99,34,7,7,10,0.343,0.3434343434343434,0.33484908990196965,0.2615543323958399,0.41234360438328427,0.6644295302013423,-0.008585253532373771,0.008585253532373771,0.393,0.677,1.07
2024,7,7월,2024-07-01,49,39,10,4,7,6,0.256,0.2564102564102564,0.2909271280381289,0.2018454076631781,0.3889073618709014,0.43820224719101125,0.034516871627872536,0.034516871627872536,0.367,0.615,0.982
2024,8,8월,2024-08-01,103,84,33,4,15,11,0.393,0.39285714285714285,0.36486951041338417,0.28572159858541657,0.44783882638194067,0.6268656716417911,-0.02798763244375868,0.02798763244375868,0.485,0.655,1.14
2024,9,9월,2024-09-01,68,58,29,9,7,8,0.5,0.5,0.4156714295869766,0.3248231378246161,0.5094790996990494,0.5370370370370371,-0.08432857041302338,0.08432857041302338,0.559,1.017,1.576
2025,3,3월,2025-03-01,36,31,8,2,4,3,0.258,0.25806451612903225,0.2949693135233762,0.20140739694749477,0.3981196260796026,0.38271604938271603,0.036904797394343936,0.036904797394343936,0.333,0.516,0.849
2025,4,4월,2025-04-01,101,85,22,5,14,22,0.259,0.25882352941176473,0.28068529181772944,0.2084103963946059,0.35911416717144884,0.6296296296296297,0.021861762405964713,0.021861762405964713,0.36,0.494,0.854
2025,5,5월,2025-05-01,102,89,21,2,10,11,0.236,0.23595505617977527,0.26541377262873006,0.19563176748865263,0.3415882881716856,0.6402877697841727,0.029458716448954786,0.029458716448954786,0.314,0.382,0.696
2025,6,6월,2025-06-01,94,85,28,3,6,20,0.329,0.32941176470588235,0.3251297362621739,0.24901071197525754,0.40615669190269255,0.6296296296296297,-0.004282028443708452,0.004282028443708452,0.383,0.506,0.889
2025,7,7월,2025-07-01,83,71,33,1,8,11,0.465,0.4647887323943662,0.4040703669040783,0.3186612608088917,0.4924841126872442,0.5867768595041323,-0.06071836549028786,0.06071836549028786,0.518,0.648,1.166
2025,8,8월,2025-08-01,123,102,35,3,20,12,0.343,0.3431372549019608,0.33481917365390446,0.26222526775664745,0.4115306862353227,0.6710526315789473,-0.00831808124805633,0.00831808124805633,0.447,0.539,0.986
2025,9,9월,2025-09-01,56,48,14,3,8,10,0.292,0.2916666666666667,0.3050256570958518,0.21835552013234233,0.3992330951726114,0.4897959183673469,0.013358990429185091,0.013358990429185091,0.393,0.542,0.935
